"age_binned" "mean" "startTime" "endTime"
"222" "(24,36]" 0.0524165107591355 -300 2750
"223" "(36,48]" 0.0711769712976423 -300 2750
"224" "(48,60]" 0.0299305235457708 -300 2750
"225" "(12,24]" 0.0368521592956322 -300 2800
"226" "(24,36]" 0.0531013537029143 -300 2800
"227" "(36,48]" 0.0721053569493259 -300 2800
"228" "(48,60]" 0.0304961470210897 -300 2800
"229" "(12,24]" 0.0361291153403281 -300 2850
"230" "(24,36]" 0.0530653877864929 -300 2850
"231" "(36,48]" 0.0729305492534522 -300 2850
"232" "(48,60]" 0.0312804288129935 -300 2850
"233" "(12,24]" 0.0376924674593393 -300 2900
"234" "(24,36]" 0.0517843205351662 -300 2900
"235" "(36,48]" 0.0745249037248468 -300 2900
"236" "(48,60]" 0.0318253842262296 -300 2900
"237" "(12,24]" 0.0378543796308208 -300 2950
"238" "(24,36]" 0.0549671492138135 -300 2950
"239" "(36,48]" 0.0763691178349902 -300 2950
"240" "(48,60]" 0.0323672231024232 -300 2950
"241" "(12,24]" 0.0331644489272601 -300 3000
"242" "(24,36]" 0.055475608275726 -300 3000
"243" "(36,48]" 0.0778676734562584 -300 3000
"244" "(48,60]" 0.0313977039995378 -300 3000
"245" "(12,24]" 0.0321236828620026 -300 3050
"246" "(24,36]" 0.0562072841403582 -300 3050
"247" "(36,48]" 0.0787864501739621 -300 3050
"248" "(48,60]" 0.0320317388015726 -300 3050
"249" "(12,24]" 0.0292723692708892 -300 3100
"250" "(24,36]" 0.05578019394709 -300 3100
"251" "(36,48]" 0.0806818075068637 -300 3100
"252" "(48,60]" 0.0328349622632473 -300 3100
"253" "(12,24]" 0.0277817486563638 -300 3150
"254" "(24,36]" 0.0564950552675496 -300 3150
"255" "(36,48]" 0.082840467152635 -300 3150
"256" "(48,60]" 0.0424918954881938 -300 3150
"257" "(12,24]" 0.0283280941689809 -300 3200
"258" "(24,36]" 0.0548467695324989 -300 3200
"259" "(36,48]" 0.0856716192758885 -300 3200
"260" "(48,60]" 0.044025563396943 -300 3200
"261" "(12,24]" 0.0292924715907321 -300 3250
"262" "(24,36]" 0.0532621776872677 -300 3250
