"effect" "term" "estimate" "std.error" "statistic" "df" "p.value" "startTime" "windowLength"
"85" "fixed" "(Intercept)" 0.527073580000567 0.0239355293017187 22.0205525165771 93.6050284445282 8.53606206510392e-39 550 300
"86" "fixed" "age_center" -0.00318949756416396 0.00378175288836129 -0.84339132098767 403.888954015823 0.399508831067196 550 300
"87" "fixed" "(Intercept)" 0.527893472444108 0.0241567780123323 21.8528096824258 94.3893968941094 1.06018039961315e-38 575 300
"88" "fixed" "age_center" -0.00390236322804379 0.00378841355316459 -1.03007846774912 404.554480655903 0.303588609777839 575 300
"89" "fixed" "(Intercept)" 0.534686450274066 0.0236709934693179 22.5882555781666 94.5288877625042 7.13071269646531e-40 600 300
"90" "fixed" "age_center" -0.00336574178612993 0.00378545698217254 -0.889124299121811 395.052968201546 0.374477353778778 600 300
"91" "fixed" "(Intercept)" 0.538377772623053 0.0235737295809592 22.8380397244358 95.2182711370606 2.07028717062245e-40 625 300
"92" "fixed" "age_center" -0.00349128049217479 0.00377541786143759 -0.924740153357591 387.765158126054 0.355676198493318 625 300
"93" "fixed" "(Intercept)" 0.543324559929847 0.0232584335488349 23.3603247092736 94.7998975259279 4.14930711116253e-41 650 300
"94" "fixed" "age_center" -0.00297640541226465 0.00373023706173694 -0.797913205783958 384.424337860536 0.425413462482443 650 300
"95" "fixed" "(Intercept)" 0.548114909378617 0.0234342266497999 23.3895027802549 95.2425117943039 2.9614237971525e-41 675 300
"96" "fixed" "age_center" -0.00300164498866377 0.00372325433571398 -0.806188543143984 383.682029310769 0.420633534777082 675 300
"97" "fixed" "(Intercept)" 0.554479205717723 0.0232225126893651 23.876796328403 95.4328676855527 4.96960853195698e-42 700 300
"98" "fixed" "age_center" -0.00236834052202728 0.00369095036747078 -0.641661438446862 372.59695753301 0.521487565874868 700 300
"99" "fixed" "(Intercept)" 0.557124921866856 0.0230497254017624 24.1705665536587 95.7647527106556 1.51564826015154e-42 725 300
"100" "fixed" "age_center" -0.00275856784668763 0.00367850042297548 -0.749916414161037 364.312411389315 0.453789050361063 725 300
"101" "fixed" "(Intercept)" 0.561848608599229 0.0230313581403637 24.3949403754249 95.8264329290086 6.82970540091442e-43 750 300
"102" "fixed" "age_center" -0.002893355759624 0.00365885560380016 -0.790781619427368 359.922168745911 0.429592187699065 750 300
"103" "fixed" "(Intercept)" 0.565205257304842 0.0229462602592612 24.6316938324067 98.0618562013999 8.694401334706e-44 775 300
"104" "fixed" "age_center" -0.0037575446707809 0.00370808812136414 -1.01333747953071 360.443193994592 0.311578722417384 775 300
"105" "fixed" "(Intercept)" 0.567514102725579 0.0229148056251685 24.7662630008194 97.1192384126868 9.34764791679088e-44 800 300
"106" "fixed" "age_center" -0.0043370620740271 0.00368049782951839 -1.1783900643122 352.643310097899 0.239435675360532 800 300
