"","age_binned","mean","startTime","endTime"
"233","(12,24]",-0.00417071864568985,-300,1450
"234","(24,36]",0.0101349430723092,-300,1450
"235","(36,48]",0.0290466945685529,-300,1450
"236","(48,60]",0.0162341973933844,-300,1450
"237","(12,24]",-0.00405502884995639,-300,1475
"238","(24,36]",0.0100670094429968,-300,1475
"239","(36,48]",0.0316873631944944,-300,1475
"240","(48,60]",0.0124491115571905,-300,1475
"241","(12,24]",-0.00222755782028784,-300,1500
"242","(24,36]",0.0114958535667061,-300,1500
"243","(36,48]",0.0342402963211823,-300,1500
"244","(48,60]",0.0137311055773803,-300,1500
"245","(12,24]",-0.00200163919982368,-300,1525
"246","(24,36]",0.012110889931962,-300,1525
"247","(36,48]",0.0364672155922757,-300,1525
"248","(48,60]",0.0163206754086942,-300,1525
"249","(12,24]",-0.00143614843161529,-300,1550
"250","(24,36]",0.0129004783924131,-300,1550
"251","(36,48]",0.0390723128961516,-300,1550
"252","(48,60]",0.0317827726365394,-300,1550
"253","(12,24]",-0.000672437003952637,-300,1575
"254","(24,36]",0.0167511851666707,-300,1575
"255","(36,48]",0.0420132302168101,-300,1575
"256","(48,60]",0.0332091336038884,-300,1575
"257","(12,24]",5.54816050515606e-06,-300,1600
"258","(24,36]",0.0202506529488618,-300,1600
"259","(36,48]",0.0452362691349151,-300,1600
"260","(48,60]",0.0316220719338992,-300,1600
"261","(12,24]",0.00484096084372344,-300,1625
"262","(24,36]",0.0236973762608059,-300,1625
"263","(36,48]",0.0461488533955852,-300,1625
"264","(48,60]",0.0321432943192094,-300,1625
"265","(12,24]",0.00793799155279375,-300,1650
"266","(24,36]",0.0259079627723529,-300,1650
"267","(36,48]",0.0481855939545954,-300,1650
"268","(48,60]",0.0327220778765102,-300,1650
"269","(12,24]",0.00703609878169479,-300,1675
"270","(24,36]",0.0282728962200423,-300,1675
"271","(36,48]",0.0505974668618926,-300,1675
"272","(48,60]",0.032885806578314,-300,1675
"273","(12,24]",0.0077060120287833,-300,1700
"274","(24,36]",0.0301384351357132,-300,1700
"275","(36,48]",0.0522309162505012,-300,1700
"276","(48,60]",0.033216739826789,-300,1700
"277","(12,24]",0.0082846828957861,-300,1725
"278","(24,36]",0.0320003488296296,-300,1725
